# time [s]; Channel 0; Channel 1; Channel 2
8.023334000000000188e+00;4.725261330604553223e-01;3.423666656017303467e-01;2.334477752447128296e-01
8.026666999999999774e+00;4.637369215488433838e-01;3.079270720481872559e-01;2.246585786342620850e-01
8.030001000000000388e+00;4.600747823715209961e-01;3.277180194854736328e-01;2.275883108377456665e-01
8.033336000000000254e+00;4.549477398395538330e-01;3.345540463924407959e-01;2.288090288639068604e-01
8.036668000000000589e+00;4.481116831302642822e-01;4.615396261215209961e-01;2.637369334697723389e-01
8.040001999999999427e+00;4.507972896099090576e-01;6.717936992645263672e-01;3.321126103401184082e-01
8.043335000000000790e+00;4.583657681941986084e-01;7.467612624168395996e-01;3.836423158645629883e-01
8.046668000000000376e+00;4.620279371738433838e-01;7.536125779151916504e-01;4.148927927017211914e-01
8.050001999999999214e+00;4.722819924354553223e-01;6.554360389709472656e-01;4.126954972743988037e-01
8.053335000000000576e+00;4.805828928947448730e-01;4.930342435836791992e-01;3.775387108325958252e-01
8.056668000000000163e+00;4.739910066127777100e-01;3.365072011947631836e-01;3.242999911308288574e-01
8.060000000000000497e+00;4.617837667465209961e-01;2.940108478069305420e-01;2.876630723476409912e-01
8.063335000000000363e+00;4.520179927349090576e-01;3.369955122470855713e-01;2.766765952110290527e-01
8.066667999999999950e+00;4.539711475372314453e-01;3.909666538238525391e-01;2.769207358360290527e-01
8.070000999999999536e+00;4.554360210895538330e-01;5.250324010848999023e-01;3.089036345481872559e-01
8.073335000000000150e+00;4.510414302349090576e-01;7.755855917930603027e-01;3.887693583965301514e-01
8.076667000000000485e+00;4.556801617145538330e-01;8.910963535308837891e-01;4.522621631622314453e-01
8.080000999999999323e+00;4.639810919761657715e-01;6.715495586395263672e-01;4.317387640476226807e-01
8.083334000000000685e+00;4.578774571418762207e-01;3.306477367877960205e-01;3.450522720813751221e-01
8.086667000000000272e+00;4.512855708599090576e-01;1.560387611389160156e-01;2.683756649494171143e-01
8.090001000000000886e+00;4.529945850372314453e-01;1.294270306825637817e-01;2.185549736022949219e-01
8.093334999999999724e+00;4.449378252029418945e-01;1.194018498063087463e-01;1.831387877464294434e-01
8.096669000000000338e+00;4.420080780982971191e-01;1.648279577493667603e-01;1.689784079790115356e-01
8.100001000000000673e+00;4.461585283279418945e-01;3.054856061935424805e-01;1.948729753494262695e-01
8.103334999999999511e+00;4.434729516506195068e-01;4.625162184238433838e-01;2.422369718551635742e-01
8.106668000000000873e+00;4.410315155982971191e-01;5.562828779220581055e-01;2.835126221179962158e-01
8.110001000000000460e+00;4.410315155982971191e-01;4.459143877029418945e-01;2.766765952110290527e-01
8.113334000000000046e+00;4.498206973075866699e-01;3.286945819854736328e-01;2.500648498535156250e-01
8.116668000000000660e+00;4.634927809238433838e-01;3.123216629028320312e-01;2.419928312301635742e-01
8.120001000000000246e+00;4.837567806243896484e-01;3.496910035610198975e-01;2.444342672824859619e-01
8.123335000000000861e+00;4.986495673656463623e-01;4.139162302017211914e-01;2.605630457401275635e-01
8.126666999999999419e+00;4.830243289470672607e-01;5.545738935470581055e-01;3.023117482662200928e-01
8.130001000000000033e+00;4.573891758918762207e-01;6.444495320320129395e-01;3.435873985290527344e-01
8.133335000000000647e+00;4.351567924022674561e-01;5.628900527954101562e-01;3.399252295494079590e-01
8.136668000000000234e+00;4.346685111522674561e-01;4.561684727668762207e-01;3.228351175785064697e-01
8.140002000000000848e+00;4.476234018802642822e-01;3.951171040534973145e-01;3.030441701412200928e-01
8.143333999999999406e+00;4.586099088191986084e-01;3.902342319488525391e-01;2.944991290569305420e-01
8.146667000000000769e+00;4.588540494441986084e-01;4.815594851970672607e-01;3.111009299755096436e-01
8.150002000000000635e+00;4.686198234558105469e-01;5.560387372970581055e-01;3.333333432674407959e-01
8.153333999999999193e+00;4.849774837493896484e-01;5.465171337127685547e-01;3.406576514244079590e-01
8.156667999999999807e+00;4.820477664470672607e-01;5.482261180877685547e-01;3.455405533313751221e-01
8.160000999999999394e+00;4.722819924354553223e-01;6.061035990715026855e-01;3.650721013545989990e-01
8.163337000000000288e+00;4.569008946418762207e-01;6.290684342384338379e-01;3.792477250099182129e-01
